MEDIA BUYER'S TRACKER,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LIVESTREAM DATE,TALENT'S NAME,FORMAT,LINK,VIEWS,,,,
2/23/2026,YAWI,Reels,https://www.facebook.com/share/r/1E4PaG8gtD/,"128,000",,,,
2/24/2026,YAWI,Reels,https://www.facebook.com/share/r/1CBinTPEEH/,"120,000",,,,
2/27/2026,YAWI,Reels,https://www.facebook.com/share/r/14V3in4dGof/,"96,000",,,,
2/1/2026,RENEJAY,Reels,https://www.facebook.com/share/v/1RZyaUnNLr/,"126,000",,,,
2/2/2026,RENEJAY,Reels,https://www.facebook.com/share/r/187L4WCBvo/,"124,000",,,,
2/4/2026,RENEJAY,Reels,https://www.facebook.com/share/v/1CCRXc81gE/,"357,000",,,,
2/5/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1DP95yRtTP/,"129,000",,,,
2/8/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1Bo1vqzmWn/,"128,000",,,,
2/9/2026,RENEJAY,Reels,https://www.facebook.com/share/v/1CPUeWLePh/,"129,000",,,,
2/10/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1bbZsfgqik/,"121,000",,,,
2/10/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1PpxTicCXq/,"111,000",,,,
2/11/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1DoaUZ5xkV/,"51,000",,,,
2/11/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1AvGEYRgHV/,"49,000",,,,
2/12/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1DkgWkiBqn/,"139,000",,,,
2/13/2026,RENEJAY,Reels,https://www.facebook.com/share/r/171RQ8Rsur/,"94,000",,,,
2/13/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1AHETVDuGh/,"65,000",,,,
2/14/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1Aj2yC57X7/,"81,000",,,,
2/15/2026,RENEJAY,Reels,https://www.facebook.com/share/v/1FWNC7GPKQ/,"232,000",,,,
2/17/2026,RENEJAY,Reels,https://www.facebook.com/share/v/1AvrENCyM7/,"178,000",,,,
2/17/2026,RENEJAY,Reels,https://www.facebook.com/share/r/18D413qopf/,"59,000",,,,
2/18/2026,RENEJAY,Reels,https://www.facebook.com/share/v/1Nst2aXSAW/,"179,000",,,,
2/18/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1CEFE5B7dq/,"63,000",,,,
2/19/2026,RENEJAY,Reels,https://www.facebook.com/share/r/16TQrqABAi/,"89,000",,,,
2/20/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1bWJj5DRZ4/,"115,000",,,,
2/21/2026,RENEJAY,Reels,https://www.facebook.com/share/r/1824rGqUZY/,"70,000",,,,
