,,,,,,,,,
CHADKINIS&LP : END OF DAY REPORT ,,,,,,,,,
,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
17 Feb 2026,2,9,"33,382","-8,584",70,"-8,514","8,165","-1,355",SUCCESS
18 Feb 2026,1,9,"52,395","-1,842",164,"-1,678","6,324","-3,200",SUCCESS
19 Feb 2026,24,16,"57,942","-3,958",80,"-3,878","6,500","-1,300",SUCCESS
20 Feb 2026,67,22,"51,122",-99,592,493 ,"6,453","-5,454",SUCCESS
21 Feb 2026,24,20,"231,305","20,879 ",666,"21,545 ","14,236","-37,016",SUCCESS
22 Feb 2026,22,12,"432,392","6,219 ",195,"6,414 ","56,735","-62,950",SUCCESS
23 Feb 2026,13,11,"250,376","-13,776",963,"-12,812","17,392","-7,000",SUCCESS
24 Feb 2026,17,13,"124,914","-14,347",60,"-14,287","23,651","-3,114",PENDING
25 Feb 2026,7,14,"1,666,718","17,266 ",90,"17,356 ","27,295","-10,544",PENDING
26 Feb 2026,14,17,"369,914","-6,196",445,"-5,751","53,340","-58,112",PENDING
27 Feb 2026,,,,,,0 ,,,PENDING
28 Feb 2026,,,,,,0 ,,,PENDING
01 Mar 2026,,,,,,0 ,,,PENDING
02 Mar 2026,,,,,,0 ,,,PENDING
03 Mar 2026,,,,,,0 ,,,PENDING
04 Mar 2026,,,,,,0 ,,,PENDING
05 Mar 2026,,,,,,0 ,,,PENDING
06 Mar 2026,,,,,,0 ,,,PENDING
07 Mar 2026,,,,,,0 ,,,PENDING
08 Mar 2026,,,,,,0 ,,,PENDING
kimsolis,TOTAL REGISTER,TOTAL ACTIVE PL,TOTAL VTO,TOTAL GGR,TOTAL FTD BONUS,TOTAL NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,OVERALL STATUS
,372,419,"5,561,609","-160,351","16,809","-143,542","473,538","-300,319",88.00%
,,,,,,,,,
AJ :  END OF DAY REPORT ,,,,,,,,,
,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
02 Feb 2026,57,130,"1,364,408","-56,550","50,784","-5,766","139,901","-166,546",SUCCESS
03 Feb 2026,74,116,"793,785","-88,574","18,090","-70,484","109,431","-35,592",SUCCESS
04 Feb 2026,221,191,"1,110,449","-106,473","12,547","-93,926","147,466","-59,711",SUCCESS
05 Feb 2026,237,220,"1,356,264","16,071 ","22,119","38,190 ","136,341","-148,426",SUCCESS
06 Feb 2026,181,191,"1,289,919","-57,240","2,657","-54,583","138,030","-72,898",SUCCESS
07 Feb 2026,75,150,"1,131,420","-16,504","3,361","-13,143","159,084","-92,356",SUCCESS
08 Feb 2026,20,94,"2,281,498","-151,751","1,819","-149,932","159,959","-35,087",SUCCESS
09 Feb 2026,18,99,"533,427","-61,240","6,954","-54,286","66,313","-26,696",SUCCESS
10 Feb 2026,28,88,"710,528","-29,904","7,302","-22,601","90,909","-51,781",SUCCESS
11 Feb 2026,32,90,"562,802","-48,841","1,628","-47,213","61,818","-28,044",SUCCESS
12 Feb 2026,52,102,"955,695","-52,460","5,190","-47,270","95,345","-39,622",SUCCESS
13 Feb 2026,183,156,"1,312,725","-28,860","2,170","-26,690","156,735","-58,478",SUCCESS
14 Feb 2026,54,128,"965,680","9,535 ","2,092","11,627 ","122,585","-126,351",SUCCESS
15 Feb 2026,14,89,"996,256","-23,421","2,398","-21,023","93,712","-124,184",SUCCESS
